block,braking_condition,crossing_time,ehmi_time,has_ehmi,is_braking,orig_speed,speed,start_time,subj_safety,subject,time_gap,trial
C,0,,,False,False,35,15.645954403218596,451.7898128654971,0,10,2,18
C,2,0.24839189189191302,,False,True,30,13.410818059901654,462.2246081081081,3,10,5,19
C,2,5.887187134502881,,False,True,35,15.645954403218596,480.2248128654971,3,10,3,20
C,3,4.9524344262295585,-1.438565573770461,False,True,25,11.17568171658471,507.72456557377046,4,10,2,21
C,0,0.03543442622947168,,False,False,25,11.17568171658471,533.5085655737705,2,10,4,22
C,1,0.16039189189200442,,False,False,30,13.410818059901654,553.0626081081081,2,10,4,23
C,0,0.33218713450287396,,False,False,35,15.645954403218596,571.0738128654971,2,10,5,24
C,1,,,False,False,35,15.645954403218596,591.368812865497,0,10,2,25
C,2,0.2153918918919544,,False,True,30,13.410818059901654,601.7486081081081,3,10,4,26
C,0,,,False,False,25,11.17568171658471,623.3895655737705,0,10,2,27
C,2,6.17739189189183,,False,True,30,13.410818059901654,633.9676081081082,3,10,3,28
C,2,0.14518713450286214,,False,True,35,15.645954403218596,658.6338128654971,3,10,4,29
C,0,0.16039189189189074,,False,False,30,13.410818059901654,680.673608108108,3,10,5,30
C,2,5.407391891891962,,False,True,30,13.410818059901654,701.3536081081081,3,10,2,31
C,1,,,False,False,25,11.17568171658471,728.1755655737704,0,10,3,32
C,2,5.271187134503066,,False,True,35,15.645954403218596,738.614812865497,4,10,2,33
C,1,0.14939189189192348,,False,False,30,13.410818059901654,763.9766081081082,4,10,5,34
C,1,,,False,False,30,13.410818059901654,784.1176081081081,0,10,2,35
C,1,0.27743442622954717,,False,False,25,11.17568171658471,796.0785655737706,4,10,5,36
C,0,0.25518713450298947,,False,False,35,15.645954403218596,815.2408128654971,2,10,4,37
C,0,,,False,False,25,11.17568171658471,836.5585655737705,0,10,3,38
C,1,0.31018713450293944,,False,False,35,15.645954403218596,846.7228128654971,3,10,5,39
C,2,0.13443442622951807,,False,True,25,11.17568171658471,869.8335655737706,4,10,5,40
C,1,,,False,False,30,13.410818059901654,890.2676081081081,0,10,3,41
C,3,0.39818713450301857,2.5321871345029194,False,True,35,15.645954403218596,900.4578128654971,3,10,5,42
C,1,0.25518713450298947,,False,False,35,15.645954403218596,919.784812865497,2,10,4,43
C,3,4.919187134502863,-0.4488128654970751,False,True,35,15.645954403218596,938.4958128654971,3,10,2,44
C,0,,,False,False,30,13.410818059901654,963.1866081081081,0,10,2,45
C,2,0.11243442622935618,,False,True,25,11.17568171658471,975.1695655737706,4,10,4,46
C,0,,,False,False,35,15.645954403218596,995.134812865497,0,10,3,47
A,2,3.797434426229511,,False,True,25,11.17568171658471,20.72156557377049,3,11,2,0
A,3,0.27743442622950454,-1.4495655737704922,False,True,25,11.17568171658471,51.13656557377049,3,11,2,1
A,2,0.6553918918919095,,False,True,30,13.410818059901654,72.5606081081081,4,11,4,2
A,1,,,False,False,25,11.17568171658471,94.6305655737705,0,11,2,3
A,0,0.5851871345029167,,False,False,35,15.645954403218596,110.38281286549707,4,11,5,4
A,2,0.4314344262295151,,False,True,25,11.17568171658471,131.22756557377048,4,11,5,5
A,3,5.693391891891878,0.13839189189187096,False,True,30,13.410818059901654,152.79460810810812,2,11,3,6
A,0,0.7944344262295147,,False,False,25,11.17568171658471,181.6845655737705,3,11,5,7
A,0,0.8093918918919201,,False,False,30,13.410818059901654,202.0746081081081,3,11,5,8
A,3,6.580187134502893,1.5421871345029103,False,True,35,15.645954403218596,220.4928128654971,2,11,4,9
A,0,,,False,False,30,13.410818059901654,247.82360810810812,0,11,3,10
A,1,0.6731871345028821,,False,False,35,15.645954403218596,259.3008128654971,3,11,5,11
A,1,,,False,False,35,15.645954403218596,277.9238128654971,0,11,3,12
A,2,0.4971871345028944,,False,True,35,15.645954403218596,288.8358128654971,4,11,5,13
A,0,,,False,False,35,15.645954403218596,307.8108128654971,0,11,2,14
A,2,4.5011871345029135,,False,True,35,15.645954403218596,317.39181286549706,2,11,2,15
A,0,,,False,False,25,11.17568171658471,344.8805655737705,0,11,3,16
A,2,0.354187134502979,,False,True,35,15.645954403218596,355.20981286549704,4,11,4,17
A,1,0.3583918918918698,,False,False,30,13.410818059901654,374.1036081081081,4,11,5,18
A,1,,,False,False,25,11.17568171658471,394.9635655737705,0,11,3,19
A,3,0.4421871345028876,2.554187134502911,False,True,35,15.645954403218596,405.80981286549707,4,11,5,20
A,2,4.109391891891846,,False,True,30,13.410818059901654,425.35260810810814,2,11,2,21
A,1,0.31043442622956263,,False,False,25,11.17568171658471,451.99856557377046,3,11,4,22
A,1,,,False,False,30,13.410818059901654,471.0356081081081,0,11,2,23
A,0,,,False,False,30,13.410818059901654,484.6096081081081,0,11,2,24
A,3,0.3214344262295299,-0.4485655737704519,False,True,25,11.17568171658471,497.60456557377046,1,11,3,25
A,1,,,False,False,35,15.645954403218596,516.161812865497,0,11,2,26
A,3,3.9071871345029194,-0.4488128654970751,False,True,35,15.645954403218596,525.7318128654971,2,11,2,27
A,0,0.5631871345029822,,False,False,35,15.645954403218596,549.128812865497,3,11,4,28
A,2,0.49039189189193166,,False,True,30,13.410818059901654,567.8246081081081,4,11,5,29
A,0,,,False,False,25,11.17568171658471,588.6955655737705,0,11,2,30
A,3,0.3363918918918216,2.1183918918918607,False,True,30,13.410818059901654,599.5926081081082,4,11,5,31
A,2,0.3211871345030204,,False,True,35,15.645954403218596,617.999812865497,1,11,3,32
A,0,,,False,False,25,11.17568171658471,638.8445655737705,0,11,4,33
A,1,0.2593918918919371,,False,False,30,13.410818059901654,652.0956081081081,2,11,4,34
A,1,0.47518713450290306,,False,False,35,15.645954403218596,668.8088128654971,4,11,4,35
A,3,0.4424344262296245,1.575434426229549,False,True,25,11.17568171658471,688.7625655737704,3,11,5,36
A,3,0.3363918918919353,1.1283918918918516,False,True,30,13.410818059901654,708.6796081081081,4,11,4,37
